               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019206,           0.0090274,           0.0024841,             0.93879,             0.91072,              0.9629,             0.66494,            0.023763,           0.0060746,           0.0032256,            0.070714,            0.003254,            0.003254
                   1,            0.021927,           0.0097559,           0.0029626,             0.88686,             0.88949,             0.93722,             0.61345,            0.030783,            0.006848,           0.0045375,            0.040569,           0.0064424,           0.0064424
                   2,            0.024873,            0.010545,           0.0038183,             0.80866,             0.70893,             0.76213,             0.49612,            0.033077,            0.010099,            0.012976,            0.010278,           0.0094841,           0.0094841
                   3,            0.026316,            0.011612,           0.0068266,             0.61295,             0.57788,              0.5859,             0.33617,            0.038208,            0.010677,            0.017817,             0.00934,             0.00934,             0.00934
                   4,            0.027383,            0.012817,           0.0083151,              0.8254,             0.65556,              0.7327,             0.43131,             0.03229,           0.0093784,             0.01154,             0.00934,             0.00934,             0.00934
                   5,            0.027399,            0.012498,            0.009947,             0.59897,             0.43976,             0.47034,             0.27619,             0.03964,            0.013409,            0.028127,             0.00912,             0.00912,             0.00912
                   6,            0.028507,            0.013267,            0.010037,              0.5943,             0.58782,             0.56851,              0.3393,            0.038076,            0.011123,            0.030869,              0.0089,              0.0089,              0.0089
                   7,            0.028841,            0.013503,           0.0097859,             0.79268,             0.59532,             0.67281,             0.40387,            0.036888,            0.011857,            0.017303,             0.00868,             0.00868,             0.00868
                   8,            0.028725,            0.013696,           0.0092357,             0.75334,             0.70246,             0.74992,             0.42664,            0.033546,           0.0096461,            0.014951,             0.00846,             0.00846,             0.00846
                   9,            0.028944,            0.013505,           0.0084628,             0.79311,              0.5816,             0.67673,             0.37016,            0.037412,             0.01061,            0.018897,             0.00824,             0.00824,             0.00824
                  10,            0.028653,            0.013462,            0.008362,              0.7876,             0.62107,             0.70841,             0.40402,            0.033678,            0.010457,            0.017273,             0.00802,             0.00802,             0.00802
                  11,            0.027813,            0.012855,           0.0072939,             0.63603,             0.66398,             0.66383,             0.39159,            0.032801,           0.0096258,            0.017564,              0.0078,              0.0078,              0.0078
                  12,            0.028127,            0.012892,           0.0076244,             0.80516,             0.57115,              0.6981,             0.39533,            0.035067,            0.010089,            0.016383,             0.00758,             0.00758,             0.00758
                  13,            0.027088,            0.012501,           0.0067956,             0.72578,             0.76052,             0.78931,             0.46524,            0.030475,           0.0085948,            0.012849,             0.00736,             0.00736,             0.00736
